--------------------------------------------------------------------------------
Process Log at Fri Aug 14 17:18:11 2020
--------------------------------------------------------------------------------
{'pid': 0, 'create_time': 1597390651.0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'num_handles': 0, 'ppid': 0, 'memory_percent': 4.802491532607116e-05, 'num_threads': 8, 'vms': 0.05859375}
{'pid': 4, 'create_time': 1597390651.0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'num_handles': 5223, 'ppid': 0, 'memory_percent': 0.029775447502164123, 'num_threads': 238, 'vms': 0.19921875}
{'pid': 88, 'create_time': 1597390792.0, 'username': None, 'name': 'DolbyDAX2API.exe', 'num_handles': 384, 'ppid': 868, 'memory_percent': 0.2695878621829005, 'num_threads': 8, 'vms': 29.6328125}
{'pid': 92, 'create_time': 1597390660.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 1294, 'ppid': 868, 'memory_percent': 0.20523447564596511, 'num_threads': 26, 'vms': 14.234375}
{'pid': 120, 'create_time': 1597390651.0, 'username': None, 'name': 'Registry', 'num_handles': 0, 'ppid': 4, 'memory_percent': 0.6250202605111532, 'num_threads': 4, 'vms': 11.0234375}
{'pid': 444, 'create_time': 1597390653.0, 'username': None, 'name': 'smss.exe', 'num_handles': 53, 'ppid': 4, 'memory_percent': 0.007323799587225852, 'num_threads': 2, 'vms': 1.15234375}
{'pid': 464, 'create_time': 1597398190.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Microsoft.Photos.exe', 'num_handles': 793, 'ppid': 92, 'memory_percent': 0.005883052127443718, 'num_threads': 18, 'vms': 48.765625}
{'pid': 480, 'create_time': 1597390668.0, 'username': None, 'name': 'OfficeClickToRun.exe', 'num_handles': 714, 'ppid': 868, 'memory_percent': 0.3359102702482048, 'num_threads': 20, 'vms': 34.23828125}
{'pid': 516, 'create_time': 1597390660.0, 'username': None, 'name': 'winlogon.exe', 'num_handles': 279, 'ppid': 788, 'memory_percent': 0.07467874333204066, 'num_threads': 5, 'vms': 2.77734375}
{'pid': 520, 'create_time': 1597390660.0, 'username': None, 'name': 'fontdrvhost.exe', 'num_handles': 32, 'ppid': 796, 'memory_percent': 0.022211523338307913, 'num_threads': 5, 'vms': 1.72265625}
{'pid': 692, 'create_time': 1597390658.0, 'username': None, 'name': 'csrss.exe', 'num_handles': 814, 'ppid': 596, 'memory_percent': 0.03479405115373856, 'num_threads': 17, 'vms': 2.25}
{'pid': 796, 'create_time': 1597390660.0, 'username': None, 'name': 'wininit.exe', 'num_handles': 156, 'ppid': 596, 'memory_percent': 0.04108531506145388, 'num_threads': 1, 'vms': 1.3515625}
{'pid': 804, 'create_time': 1597390660.0, 'username': None, 'name': 'csrss.exe', 'num_handles': 841, 'ppid': 788, 'memory_percent': 0.03685912251275962, 'num_threads': 14, 'vms': 2.5}
{'pid': 868, 'create_time': 1597390660.0, 'username': None, 'name': 'services.exe', 'num_handles': 735, 'ppid': 796, 'memory_percent': 0.06348893806106609, 'num_threads': 8, 'vms': 5.44140625}
{'pid': 888, 'create_time': 1597390660.0, 'username': None, 'name': 'lsass.exe', 'num_handles': 1409, 'ppid': 796, 'memory_percent': 0.11545189644387509, 'num_threads': 10, 'vms': 7.23046875}
{'pid': 900, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 227, 'ppid': 868, 'memory_percent': 0.08104204461274508, 'num_threads': 6, 'vms': 2.5546875}
{'pid': 908, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 226, 'ppid': 868, 'memory_percent': 0.07391034468682352, 'num_threads': 3, 'vms': 2.9375}
{'pid': 936, 'create_time': 1597405108.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'num_handles': 500, 'ppid': 1904, 'memory_percent': 0.23563424704736818, 'num_threads': 14, 'vms': 19.59765625}
{'pid': 996, 'create_time': 1597390660.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 86, 'ppid': 868, 'memory_percent': 0.023772333086405226, 'num_threads': 2, 'vms': 0.953125}
{'pid': 1032, 'create_time': 1597390660.0, 'username': None, 'name': 'fontdrvhost.exe', 'num_handles': 32, 'ppid': 516, 'memory_percent': 0.047160466850201886, 'num_threads': 5, 'vms': 3.55859375}
{'pid': 1092, 'create_time': 1597390660.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 1414, 'ppid': 868, 'memory_percent': 0.10901655779018155, 'num_threads': 14, 'vms': 9.6953125}
{'pid': 1112, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 269, 'ppid': 868, 'memory_percent': 0.03503417573036892, 'num_threads': 3, 'vms': 1.29296875}
{'pid': 1124, 'create_time': 1597404425.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'LockApp.exe', 'num_handles': 533, 'ppid': 92, 'memory_percent': 0.3279381343040769, 'num_threads': 12, 'vms': 13.68359375}
{'pid': 1140, 'create_time': 1597390660.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 302, 'ppid': 868, 'memory_percent': 0.04797689041074509, 'num_threads': 6, 'vms': 2.58984375}
{'pid': 1192, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 179, 'ppid': 868, 'memory_percent': 0.04776077829177778, 'num_threads': 5, 'vms': 1.96875}
{'pid': 1196, 'create_time': 1597390660.0, 'username': None, 'name': 'dwm.exe', 'num_handles': 976, 'ppid': 516, 'memory_percent': 0.543882166067756, 'num_threads': 13, 'vms': 72.32421875}
{'pid': 1260, 'create_time': 1597390792.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 388, 'ppid': 868, 'memory_percent': 0.09208777513774145, 'num_threads': 10, 'vms': 4.7734375}
{'pid': 1304, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 259, 'ppid': 868, 'memory_percent': 0.06641845789595643, 'num_threads': 4, 'vms': 2.59375}
{'pid': 1336, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 169, 'ppid': 868, 'memory_percent': 0.07479880562035585, 'num_threads': 4, 'vms': 2.21875}
{'pid': 1368, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 250, 'ppid': 868, 'memory_percent': 0.05213104558645025, 'num_threads': 3, 'vms': 2.12109375}
{'pid': 1388, 'create_time': 1597390673.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 238, 'ppid': 868, 'memory_percent': 0.06356097543405519, 'num_threads': 8, 'vms': 2.83984375}
{'pid': 1428, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 134, 'ppid': 868, 'memory_percent': 0.03645091073248802, 'num_threads': 6, 'vms': 1.54296875}
{'pid': 1456, 'create_time': 1597390696.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'svchost.exe', 'num_handles': 315, 'ppid': 868, 'memory_percent': 0.13761539486685692, 'num_threads': 9, 'vms': 4.16796875}
{'pid': 1572, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 430, 'ppid': 868, 'memory_percent': 0.11036125541931154, 'num_threads': 9, 'vms': 14.828125}
{'pid': 1624, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 153, 'ppid': 868, 'memory_percent': 0.051602771517863466, 'num_threads': 2, 'vms': 1.77734375}
{'pid': 1676, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 150, 'ppid': 868, 'memory_percent': 0.055564827032264334, 'num_threads': 4, 'vms': 5.01953125}
{'pid': 1708, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 227, 'ppid': 868, 'memory_percent': 0.0469683671888976, 'num_threads': 8, 'vms': 2.39453125}
{'pid': 1732, 'create_time': 1597390832.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 221, 'ppid': 868, 'memory_percent': 0.07431855646709513, 'num_threads': 5, 'vms': 3.08203125}
{'pid': 1800, 'create_time': 1597390661.0, 'username': None, 'name': 'NVDisplay.Container.exe', 'num_handles': 328, 'ppid': 868, 'memory_percent': 0.10056417269279302, 'num_threads': 8, 'vms': 5.77734375}
{'pid': 1864, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 301, 'ppid': 868, 'memory_percent': 0.07744017596328975, 'num_threads': 6, 'vms': 2.7890625}
{'pid': 1892, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 388, 'ppid': 868, 'memory_percent': 0.07669578977573564, 'num_threads': 9, 'vms': 4.84765625}
{'pid': 1904, 'create_time': 1597405107.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'num_handles': 1639, 'ppid': 5296, 'memory_percent': 1.1897212273727609, 'num_threads': 33, 'vms': 125.359375}
{'pid': 1916, 'create_time': 1597399229.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'powershell.exe', 'num_handles': 514, 'ppid': 5860, 'memory_percent': 0.4337610352250748, 'num_threads': 12, 'vms': 58.55859375}
{'pid': 1920, 'create_time': 1597390661.0, 'username': None, 'name': 'svchost.exe', 'num_handles': 408, 'ppid': 868, 'memory_percent': 0.09653007980540304, 'num_threads': 11, 'vms': 6.40625}
