--------------------------------------------------------------------------------
Process Log at Fri Aug 14 18:15:44 2020
--------------------------------------------------------------------------------
{'num_threads': 8, 'username': 'NT AUTHORITY\\SYSTEM', 'num_handles': 0, 'ppid': 0, 'memory_percent': 4.802491532607116e-05, 'pid': 0, 'name': 'System Idle Process', 'create_time': 1597390651.0, 'vms': 0.05859375}
{'num_threads': 234, 'username': 'NT AUTHORITY\\SYSTEM', 'num_handles': 5185, 'ppid': 0, 'memory_percent': 0.02994353470580537, 'pid': 4, 'name': 'System', 'create_time': 1597390651.0, 'vms': 0.19921875}
{'num_threads': 8, 'username': None, 'num_handles': 380, 'ppid': 868, 'memory_percent': 0.2695878621829005, 'pid': 88, 'name': 'DolbyDAX2API.exe', 'create_time': 1597390792.0, 'vms': 29.6328125}
{'num_threads': 26, 'username': None, 'num_handles': 1291, 'ppid': 868, 'memory_percent': 0.20571472479922584, 'pid': 92, 'name': 'svchost.exe', 'create_time': 1597390660.0, 'vms': 14.2890625}
{'num_threads': 4, 'username': None, 'num_handles': 0, 'ppid': 4, 'memory_percent': 0.626220883394305, 'pid': 120, 'name': 'Registry', 'create_time': 1597390651.0, 'vms': 11.01171875}
{'num_threads': 5, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 119, 'ppid': 2328, 'memory_percent': 0.044158909642322434, 'pid': 204, 'name': 'conhost.exe', 'create_time': 1597409141.0, 'vms': 1.703125}
{'num_threads': 2, 'username': None, 'num_handles': 53, 'ppid': 4, 'memory_percent': 0.007323799587225852, 'pid': 444, 'name': 'smss.exe', 'create_time': 1597390653.0, 'vms': 1.15234375}
{'num_threads': 18, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 793, 'ppid': 92, 'memory_percent': 0.005883052127443718, 'pid': 464, 'name': 'Microsoft.Photos.exe', 'create_time': 1597398190.0, 'vms': 48.765625}
{'num_threads': 20, 'username': None, 'num_handles': 697, 'ppid': 868, 'memory_percent': 0.333364949735923, 'pid': 480, 'name': 'OfficeClickToRun.exe', 'create_time': 1597390668.0, 'vms': 34.21875}
{'num_threads': 6, 'username': None, 'num_handles': 275, 'ppid': 788, 'memory_percent': 0.07467874333204066, 'pid': 516, 'name': 'winlogon.exe', 'create_time': 1597390660.0, 'vms': 2.8515625}
{'num_threads': 5, 'username': None, 'num_handles': 32, 'ppid': 796, 'memory_percent': 0.022211523338307913, 'pid': 520, 'name': 'fontdrvhost.exe', 'create_time': 1597390660.0, 'vms': 1.72265625}
{'num_threads': 17, 'username': None, 'num_handles': 801, 'ppid': 596, 'memory_percent': 0.034722013780749454, 'pid': 692, 'name': 'csrss.exe', 'create_time': 1597390658.0, 'vms': 2.25}
{'num_threads': 1, 'username': None, 'num_handles': 156, 'ppid': 596, 'memory_percent': 0.04108531506145388, 'pid': 796, 'name': 'wininit.exe', 'create_time': 1597390660.0, 'vms': 1.3515625}
{'num_threads': 13, 'username': None, 'num_handles': 836, 'ppid': 788, 'memory_percent': 0.036763072682107475, 'pid': 804, 'name': 'csrss.exe', 'create_time': 1597390660.0, 'vms': 2.4609375}
{'num_threads': 8, 'username': None, 'num_handles': 730, 'ppid': 796, 'memory_percent': 0.06344091314574002, 'pid': 868, 'name': 'services.exe', 'create_time': 1597390660.0, 'vms': 5.4453125}
{'num_threads': 10, 'username': None, 'num_handles': 1445, 'ppid': 796, 'memory_percent': 0.11530782169789687, 'pid': 888, 'name': 'lsass.exe', 'create_time': 1597390660.0, 'vms': 7.22265625}
{'num_threads': 5, 'username': None, 'num_handles': 223, 'ppid': 868, 'memory_percent': 0.08070587020546259, 'pid': 900, 'name': 'svchost.exe', 'create_time': 1597390661.0, 'vms': 2.46875}
{'num_threads': 3, 'username': None, 'num_handles': 226, 'ppid': 868, 'memory_percent': 0.07391034468682352, 'pid': 908, 'name': 'svchost.exe', 'create_time': 1597390661.0, 'vms': 2.9375}
{'num_threads': 2, 'username': None, 'num_handles': 86, 'ppid': 868, 'memory_percent': 0.023772333086405226, 'pid': 996, 'name': 'svchost.exe', 'create_time': 1597390660.0, 'vms': 0.953125}
{'num_threads': 5, 'username': None, 'num_handles': 32, 'ppid': 516, 'memory_percent': 0.047160466850201886, 'pid': 1032, 'name': 'fontdrvhost.exe', 'create_time': 1597390660.0, 'vms': 3.55859375}
{'num_threads': 15, 'username': None, 'num_handles': 1417, 'ppid': 868, 'memory_percent': 0.10916063253615976, 'pid': 1092, 'name': 'svchost.exe', 'create_time': 1597390660.0, 'vms': 9.70703125}
{'num_threads': 4, 'username': None, 'num_handles': 271, 'ppid': 868, 'memory_percent': 0.03513022556102106, 'pid': 1112, 'name': 'svchost.exe', 'create_time': 1597390661.0, 'vms': 1.34375}
{'num_threads': 12, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'num_handles': 533, 'ppid': 92, 'memory_percent': 0.3237119417553827, 'pid': 1124, 'name': 'LockApp.exe', 'create_time': 1597404425.0, 'vms': 13.68359375}
{'num_threads': 5, 'username': None, 'num_handles': 301, 'ppid': 868, 'memory_percent': 0.04840911464867973, 'pid': 1140, 'name': 'svchost.exe', 'create_time': 1597390660.0, 'vms': 2.63671875}
{'num_threads': 5, 'username': None, 'num_handles': 179, 'ppid': 868, 'memory_percent': 0.04776077829177778, 'pid': 1192, 'name': 'svchost.exe', 'create_time': 1597390661.0, 'vms': 1.96875}
{'num_threads': 13, 'username': None, 'num_handles': 964, 'ppid': 516, 'memory_percent': 0.719389219126883, 'pid': 1196, 'name': 'dwm.exe', 'create_time': 1597390660.0, 'vms': 93.2265625}
{'num_threads': 11, 'username': None, 'num_handles': 389, 'ppid': 868, 'memory_percent': 0.09223184988371967, 'pid': 1260, 'name': 'svchost.exe', 'create_time': 1597390792.0, 'vms': 4.82421875}
{'num_threads': 4, 'username': None, 'num_handles': 259, 'ppid': 868, 'memory_percent': 0.0665385201842716, 'pid': 1304, 'name': 'svchost.exe', 'create_time': 1597390661.0, 'vms': 2.60546875}
