--------------------------------------------------------------------------------
Process Log at Mon Aug 10 13:34:03 2020
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.19921875}
{'name': 'WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe', 'pid': 88, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 12.27734375}
{'name': 'Registry', 'pid': 120, 'username': None, 'vms': 11.96875}
{'name': 'svchost.exe', 'pid': 148, 'username': None, 'vms': 10.90234375}
{'name': 'svchost.exe', 'pid': 388, 'username': None, 'vms': 0.93359375}
{'name': 'smss.exe', 'pid': 468, 'username': None, 'vms': 1.1640625}
{'name': 'python.exe', 'pid': 512, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 210.40625}
{'name': 'conhost.exe', 'pid': 532, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.51953125}
{'name': 'svchost.exe', 'pid': 560, 'username': None, 'vms': 14.7578125}
{'name': 'chrome.exe', 'pid': 684, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 19.875}
{'name': 'csrss.exe', 'pid': 692, 'username': None, 'vms': 2.37109375}
{'name': 'nvsphelper64.exe', 'pid': 700, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.21484375}
{'name': 'csrss.exe', 'pid': 716, 'username': None, 'vms': 2.5}
{'name': 'wininit.exe', 'pid': 792, 'username': None, 'vms': 1.59375}
{'name': 'services.exe', 'pid': 864, 'username': None, 'vms': 5.50390625}
{'name': 'lsass.exe', 'pid': 880, 'username': None, 'vms': 7.83203125}
{'name': 'fontdrvhost.exe', 'pid': 952, 'username': None, 'vms': 1.57421875}
{'name': 'YourPhone.exe', 'pid': 1012, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 25.69140625}
{'name': 'svchost.exe', 'pid': 1080, 'username': None, 'vms': 9.22265625}
{'name': 'svchost.exe', 'pid': 1128, 'username': None, 'vms': 2.8046875}
{'name': 'Code.exe', 'pid': 1144, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 50.1875}
{'name': 'PresentationFontCache.exe', 'pid': 1220, 'username': None, 'vms': 24.71484375}
{'name': 'svchost.exe', 'pid': 1344, 'username': None, 'vms': 2.64453125}
{'name': 'chrome.exe', 'pid': 1384, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 41.6875}
{'name': 'svchost.exe', 'pid': 1400, 'username': None, 'vms': 2.15625}
{'name': 'svchost.exe', 'pid': 1440, 'username': None, 'vms': 1.5390625}
{'name': 'svchost.exe', 'pid': 1508, 'username': None, 'vms': 2.55859375}
{'name': 'RuntimeBroker.exe', 'pid': 1544, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.46484375}
{'name': 'svchost.exe', 'pid': 1576, 'username': None, 'vms': 6.78515625}
{'name': 'svchost.exe', 'pid': 1612, 'username': None, 'vms': 3.15234375}
{'name': 'svchost.exe', 'pid': 1636, 'username': None, 'vms': 2.2578125}
{'name': 'svchost.exe', 'pid': 1640, 'username': None, 'vms': 1.55078125}
{'name': 'Skype.exe', 'pid': 1656, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 9.5078125}
{'name': 'python.exe', 'pid': 1700, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 271.3828125}
{'name': 'svchost.exe', 'pid': 1756, 'username': None, 'vms': 16.41796875}
{'name': 'svchost.exe', 'pid': 1796, 'username': None, 'vms': 1.296875}
{'name': 'svchost.exe', 'pid': 1800, 'username': None, 'vms': 7.0078125}
{'name': 'Skype.exe', 'pid': 1864, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 38.96484375}
{'name': 'svchost.exe', 'pid': 1896, 'username': None, 'vms': 2.90234375}
{'name': 'NVDisplay.Container.exe', 'pid': 1976, 'username': None, 'vms': 5.87109375}
{'name': 'svchost.exe', 'pid': 2024, 'username': None, 'vms': 5.3515625}
{'name': 'svchost.exe', 'pid': 2040, 'username': None, 'vms': 1.75390625}
{'name': 'svchost.exe', 'pid': 2052, 'username': None, 'vms': 1.97265625}
{'name': 'wsc_proxy.exe', 'pid': 2060, 'username': None, 'vms': 4.12890625}
{'name': 'svchost.exe', 'pid': 2084, 'username': None, 'vms': 2.16015625}
{'name': 'DolbyDAX2TrayIcon.exe', 'pid': 2120, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.9765625}
{'name': 'chrome.exe', 'pid': 2224, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 110.5078125}
{'name': 'Memory Compression', 'pid': 2288, 'username': None, 'vms': 0.1015625}
{'name': 'svchost.exe', 'pid': 2336, 'username': None, 'vms': 1.99609375}
{'name': 'svchost.exe', 'pid': 2344, 'username': None, 'vms': 2.84765625}
{'name': 'svchost.exe', 'pid': 2380, 'username': None, 'vms': 4.421875}
{'name': 'igfxCUIService.exe', 'pid': 2424, 'username': None, 'vms': 1.96875}
{'name': 'svchost.exe', 'pid': 2456, 'username': None, 'vms': 1.51953125}
{'name': 'svchost.exe', 'pid': 2524, 'username': None, 'vms': 2.7578125}
{'name': 'svchost.exe', 'pid': 2552, 'username': None, 'vms': 3.09765625}
{'name': 'Code.exe', 'pid': 2560, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 10.3203125}
