--------------------------------------------------------------------------------
Process Log at Mon Aug 10 13:37:44 2020
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.19921875}
{'name': 'WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 88, 'vms': 12.27734375}
{'name': 'Registry', 'username': None, 'pid': 120, 'vms': 11.0859375}
{'name': 'svchost.exe', 'username': None, 'pid': 148, 'vms': 10.90234375}
{'name': 'svchost.exe', 'username': None, 'pid': 388, 'vms': 0.93359375}
{'name': 'smss.exe', 'username': None, 'pid': 468, 'vms': 1.1640625}
{'name': 'python.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 512, 'vms': 288.91015625}
{'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 532, 'vms': 6.51953125}
{'name': 'svchost.exe', 'username': None, 'pid': 560, 'vms': 14.65234375}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 684, 'vms': 19.8828125}
{'name': 'csrss.exe', 'username': None, 'pid': 692, 'vms': 2.359375}
{'name': 'nvsphelper64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 700, 'vms': 3.21484375}
{'name': 'csrss.exe', 'username': None, 'pid': 716, 'vms': 2.54296875}
{'name': 'wininit.exe', 'username': None, 'pid': 792, 'vms': 1.59375}
{'name': 'services.exe', 'username': None, 'pid': 864, 'vms': 5.51171875}
{'name': 'lsass.exe', 'username': None, 'pid': 880, 'vms': 7.765625}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 952, 'vms': 1.57421875}
{'name': 'YourPhone.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 1012, 'vms': 25.69140625}
{'name': 'svchost.exe', 'username': None, 'pid': 1080, 'vms': 9.22265625}
{'name': 'svchost.exe', 'username': None, 'pid': 1128, 'vms': 2.92578125}
{'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 1144, 'vms': 51.375}
{'name': 'PresentationFontCache.exe', 'username': None, 'pid': 1220, 'vms': 24.71484375}
{'name': 'svchost.exe', 'username': None, 'pid': 1344, 'vms': 2.64453125}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 1384, 'vms': 42.21484375}
{'name': 'svchost.exe', 'username': None, 'pid': 1400, 'vms': 2.15625}
{'name': 'svchost.exe', 'username': None, 'pid': 1440, 'vms': 1.5390625}
{'name': 'svchost.exe', 'username': None, 'pid': 1508, 'vms': 2.515625}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 1544, 'vms': 5.46484375}
{'name': 'svchost.exe', 'username': None, 'pid': 1576, 'vms': 6.82421875}
{'name': 'svchost.exe', 'username': None, 'pid': 1612, 'vms': 3.15234375}
{'name': 'svchost.exe', 'username': None, 'pid': 1636, 'vms': 2.17578125}
{'name': 'svchost.exe', 'username': None, 'pid': 1640, 'vms': 1.55078125}
{'name': 'Skype.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 1656, 'vms': 9.5078125}
{'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 1700, 'vms': 6.52734375}
{'name': 'svchost.exe', 'username': None, 'pid': 1756, 'vms': 16.47265625}
{'name': 'svchost.exe', 'username': None, 'pid': 1796, 'vms': 1.296875}
{'name': 'svchost.exe', 'username': None, 'pid': 1800, 'vms': 7.84765625}
{'name': 'Skype.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 1864, 'vms': 38.96484375}
{'name': 'svchost.exe', 'username': None, 'pid': 1896, 'vms': 2.85546875}
{'name': 'NVDisplay.Container.exe', 'username': None, 'pid': 1976, 'vms': 5.87109375}
{'name': 'svchost.exe', 'username': None, 'pid': 2024, 'vms': 5.3046875}
{'name': 'svchost.exe', 'username': None, 'pid': 2040, 'vms': 1.75390625}
{'name': 'svchost.exe', 'username': None, 'pid': 2052, 'vms': 1.97265625}
{'name': 'wsc_proxy.exe', 'username': None, 'pid': 2060, 'vms': 4.12890625}
{'name': 'svchost.exe', 'username': None, 'pid': 2084, 'vms': 2.58984375}
{'name': 'DolbyDAX2TrayIcon.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 2120, 'vms': 3.9765625}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 2224, 'vms': 111.07421875}
{'name': 'Memory Compression', 'username': None, 'pid': 2288, 'vms': 0.1015625}
{'name': 'svchost.exe', 'username': None, 'pid': 2336, 'vms': 1.99609375}
