--------------------------------------------------------------------------------
Process Log at Mon Aug 10 13:43:20 2020
--------------------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'pid': 4, 'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.19921875}
{'pid': 88, 'name': 'WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 12.30078125}
{'pid': 120, 'name': 'Registry', 'username': None, 'vms': 10.34375}
{'pid': 148, 'name': 'svchost.exe', 'username': None, 'vms': 10.8515625}
{'pid': 388, 'name': 'svchost.exe', 'username': None, 'vms': 0.93359375}
{'pid': 468, 'name': 'smss.exe', 'username': None, 'vms': 1.1640625}
{'pid': 512, 'name': 'python.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 264.2109375}
{'pid': 532, 'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.51953125}
{'pid': 560, 'name': 'svchost.exe', 'username': None, 'vms': 14.66015625}
{'pid': 684, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 19.8828125}
{'pid': 692, 'name': 'csrss.exe', 'username': None, 'vms': 2.37109375}
{'pid': 700, 'name': 'nvsphelper64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.21484375}
{'pid': 716, 'name': 'csrss.exe', 'username': None, 'vms': 2.4921875}
{'pid': 792, 'name': 'wininit.exe', 'username': None, 'vms': 1.59375}
{'pid': 864, 'name': 'services.exe', 'username': None, 'vms': 5.50390625}
{'pid': 880, 'name': 'lsass.exe', 'username': None, 'vms': 7.671875}
{'pid': 952, 'name': 'fontdrvhost.exe', 'username': None, 'vms': 1.57421875}
{'pid': 1012, 'name': 'YourPhone.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 25.69140625}
{'pid': 1080, 'name': 'svchost.exe', 'username': None, 'vms': 9.28515625}
{'pid': 1100, 'name': 'python.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 271.20703125}
{'pid': 1128, 'name': 'svchost.exe', 'username': None, 'vms': 2.87890625}
{'pid': 1144, 'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 49.3515625}
{'pid': 1220, 'name': 'PresentationFontCache.exe', 'username': None, 'vms': 24.71484375}
{'pid': 1344, 'name': 'svchost.exe', 'username': None, 'vms': 2.64453125}
{'pid': 1384, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 42.21484375}
{'pid': 1400, 'name': 'svchost.exe', 'username': None, 'vms': 2.15625}
{'pid': 1440, 'name': 'svchost.exe', 'username': None, 'vms': 1.5390625}
{'pid': 1508, 'name': 'svchost.exe', 'username': None, 'vms': 2.49609375}
{'pid': 1544, 'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.46484375}
{'pid': 1576, 'name': 'svchost.exe', 'username': None, 'vms': 6.77734375}
{'pid': 1612, 'name': 'svchost.exe', 'username': None, 'vms': 3.15234375}
{'pid': 1636, 'name': 'svchost.exe', 'username': None, 'vms': 2.17578125}
{'pid': 1640, 'name': 'svchost.exe', 'username': None, 'vms': 1.55078125}
{'pid': 1656, 'name': 'Skype.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 9.5078125}
{'pid': 1756, 'name': 'svchost.exe', 'username': None, 'vms': 16.484375}
{'pid': 1796, 'name': 'svchost.exe', 'username': None, 'vms': 1.34765625}
{'pid': 1800, 'name': 'svchost.exe', 'username': None, 'vms': 7.76953125}
{'pid': 1864, 'name': 'Skype.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 38.96484375}
{'pid': 1896, 'name': 'svchost.exe', 'username': None, 'vms': 2.90625}
{'pid': 1976, 'name': 'NVDisplay.Container.exe', 'username': None, 'vms': 6.6953125}
{'pid': 2024, 'name': 'svchost.exe', 'username': None, 'vms': 5.5078125}
{'pid': 2040, 'name': 'svchost.exe', 'username': None, 'vms': 1.75390625}
{'pid': 2052, 'name': 'svchost.exe', 'username': None, 'vms': 1.97265625}
{'pid': 2060, 'name': 'wsc_proxy.exe', 'username': None, 'vms': 4.12890625}
{'pid': 2084, 'name': 'svchost.exe', 'username': None, 'vms': 2.58984375}
{'pid': 2120, 'name': 'DolbyDAX2TrayIcon.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.9765625}
{'pid': 2184, 'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.515625}
{'pid': 2196, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 17.83203125}
{'pid': 2224, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 110.90625}
{'pid': 2288, 'name': 'Memory Compression', 'username': None, 'vms': 0.1015625}
{'pid': 2336, 'name': 'svchost.exe', 'username': None, 'vms': 1.99609375}
{'pid': 2344, 'name': 'svchost.exe', 'username': None, 'vms': 2.4609375}
{'pid': 2356, 'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.4765625}
{'pid': 2380, 'name': 'svchost.exe', 'username': None, 'vms': 4.421875}
{'pid': 2424, 'name': 'igfxCUIService.exe', 'username': None, 'vms': 1.96875}
{'pid': 2456, 'name': 'svchost.exe', 'username': None, 'vms': 1.51953125}
{'pid': 2524, 'name': 'svchost.exe', 'username': None, 'vms': 2.7578125}
{'pid': 2552, 'name': 'svchost.exe', 'username': None, 'vms': 3.20703125}
{'pid': 2560, 'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 10.32421875}
{'pid': 2596, 'name': 'svchost.exe', 'username': None, 'vms': 1.9296875}
{'pid': 2604, 'name': 'svchost.exe', 'username': None, 'vms': 1.97265625}
{'pid': 2628, 'name': 'svchost.exe', 'username': None, 'vms': 2.9140625}
{'pid': 2648, 'name': 'Skype.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 119.85546875}
{'pid': 2668, 'name': 'SearchUI.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 92.87109375}
{'pid': 2692, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 205.5390625}
{'pid': 2728, 'name': 'svchost.exe', 'username': None, 'vms': 2.9296875}
{'pid': 2856, 'name': 'svchost.exe', 'username': None, 'vms': 2.4140625}
{'pid': 2924, 'name': 'svchost.exe', 'username': None, 'vms': 3.3671875}
{'pid': 3028, 'name': 'svchost.exe', 'username': None, 'vms': 1.8828125}
{'pid': 3036, 'name': 'svchost.exe', 'username': None, 'vms': 2.9140625}
{'pid': 3164, 'name': 'svchost.exe', 'username': None, 'vms': 2.34765625}
{'pid': 3252, 'name': 'svchost.exe', 'username': None, 'vms': 4.90234375}
{'pid': 3256, 'name': 'svchost.exe', 'username': None, 'vms': 6.3515625}
{'pid': 3276, 'name': 'svchost.exe', 'username': None, 'vms': 2.25}
{'pid': 3348, 'name': 'svchost.exe', 'username': None, 'vms': 2.9609375}
{'pid': 3368, 'name': 'AvastSvc.exe', 'username': None, 'vms': 170.921875}
{'pid': 3432, 'name': 'svchost.exe', 'username': None, 'vms': 9.38671875}
{'pid': 3744, 'name': 'svchost.exe', 'username': None, 'vms': 6.03515625}
{'pid': 3764, 'name': 'spoolsv.exe', 'username': None, 'vms': 5.17578125}
{'pid': 3788, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 34.90625}
{'pid': 3796, 'name': 'svchost.exe', 'username': None, 'vms': 11.75390625}
{'pid': 3844, 'name': 'dwm.exe', 'username': None, 'vms': 80.19921875}
{'pid': 3912, 'name': 'svchost.exe', 'username': None, 'vms': 2.015625}
{'pid': 4076, 'name': 'NVIDIA Share.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 20.49609375}
{'pid': 4128, 'name': 'mDNSResponder.exe', 'username': None, 'vms': 1.9375}
{'pid': 4136, 'name': 'AdminService.exe', 'username': None, 'vms': 3.9921875}
