--------------------------------------------------------------------------------
Process Log at Mon Aug 10 13:50:08 2020
--------------------------------------------------------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 0.19921875}
{'pid': 88, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe', 'vms': 12.30859375}
{'pid': 120, 'username': None, 'name': 'Registry', 'vms': 10.46875}
{'pid': 148, 'username': None, 'name': 'svchost.exe', 'vms': 10.8515625}
{'pid': 388, 'username': None, 'name': 'svchost.exe', 'vms': 0.93359375}
{'pid': 468, 'username': None, 'name': 'smss.exe', 'vms': 1.1640625}
{'pid': 512, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'python.exe', 'vms': 290.3515625}
{'pid': 532, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'conhost.exe', 'vms': 6.51953125}
{'pid': 560, 'username': None, 'name': 'svchost.exe', 'vms': 14.5859375}
{'pid': 684, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'vms': 19.8828125}
{'pid': 692, 'username': None, 'name': 'csrss.exe', 'vms': 2.37109375}
{'pid': 700, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'nvsphelper64.exe', 'vms': 3.21484375}
{'pid': 716, 'username': None, 'name': 'csrss.exe', 'vms': 2.4921875}
{'pid': 792, 'username': None, 'name': 'wininit.exe', 'vms': 1.59375}
{'pid': 864, 'username': None, 'name': 'services.exe', 'vms': 5.5859375}
{'pid': 880, 'username': None, 'name': 'lsass.exe', 'vms': 7.6796875}
{'pid': 952, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 1.57421875}
{'pid': 1012, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'YourPhone.exe', 'vms': 25.69140625}
{'pid': 1080, 'username': None, 'name': 'svchost.exe', 'vms': 9.15625}
{'pid': 1128, 'username': None, 'name': 'svchost.exe', 'vms': 2.87890625}
{'pid': 1144, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'vms': 49.46484375}
