--------------------------------------------------------------------------------
Process Log at Mon Aug 10 19:36:43 2020
--------------------------------------------------------------------------------
{'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'create_time': 1597001986.0, 'name': 'System Idle Process', 'vms': 0.05859375}
{'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'create_time': 1597001986.0, 'name': 'System', 'vms': 0.19921875}
{'username': None, 'pid': 120, 'create_time': 1597001986.0, 'name': 'Registry', 'vms': 10.21484375}
{'username': None, 'pid': 148, 'create_time': 1597002130.0, 'name': 'svchost.exe', 'vms': 10.98046875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 236, 'create_time': 1597065285.0, 'name': 'DolbyDAX2TrayIcon.exe', 'vms': 4.00390625}
{'username': None, 'pid': 388, 'create_time': 1597002002.0, 'name': 'svchost.exe', 'vms': 0.9375}
{'username': None, 'pid': 468, 'create_time': 1597001989.0, 'name': 'smss.exe', 'vms': 1.1640625}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 528, 'create_time': 1597065275.0, 'name': 'chrome.exe', 'vms': 38.78515625}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 532, 'create_time': 1597065264.0, 'name': 'svchost.exe', 'vms': 1.828125}
{'username': None, 'pid': 560, 'create_time': 1597002002.0, 'name': 'svchost.exe', 'vms': 15.30859375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 616, 'create_time': 1597065263.0, 'name': 'nvcontainer.exe', 'vms': 7.06640625}
{'username': None, 'pid': 692, 'create_time': 1597002000.0, 'name': 'csrss.exe', 'vms': 2.38671875}
{'username': None, 'pid': 792, 'create_time': 1597002002.0, 'name': 'wininit.exe', 'vms': 1.6015625}
{'username': None, 'pid': 864, 'create_time': 1597002002.0, 'name': 'services.exe', 'vms': 5.48828125}
{'username': None, 'pid': 880, 'create_time': 1597002002.0, 'name': 'lsass.exe', 'vms': 8.06640625}
{'username': None, 'pid': 952, 'create_time': 1597002002.0, 'name': 'fontdrvhost.exe', 'vms': 1.57421875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 1040, 'create_time': 1597065475.0, 'name': 'WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe', 'vms': 12.2421875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 1052, 'create_time': 1597065275.0, 'name': 'chrome.exe', 'vms': 22.87109375}
{'username': None, 'pid': 1080, 'create_time': 1597002003.0, 'name': 'svchost.exe', 'vms': 9.328125}
{'username': None, 'pid': 1128, 'create_time': 1597002003.0, 'name': 'svchost.exe', 'vms': 2.82421875}
{'username': None, 'pid': 1220, 'create_time': 1597002012.0, 'name': 'PresentationFontCache.exe', 'vms': 24.71484375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 1248, 'create_time': 1597065379.0, 'name': 'ShellExperienceHost.exe', 'vms': 14.22265625}
{'username': None, 'pid': 1344, 'create_time': 1597002003.0, 'name': 'svchost.exe', 'vms': 2.63671875}
{'username': None, 'pid': 1400, 'create_time': 1597002003.0, 'name': 'svchost.exe', 'vms': 2.1796875}
{'username': None, 'pid': 1440, 'create_time': 1597002003.0, 'name': 'svchost.exe', 'vms': 1.59765625}
