--------------------------------------------------------------------------------
Process Log at Mon Aug 10 19:37:57 2020
--------------------------------------------------------------------------------
{'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'pid': 0, 'create_time': 1597001986.0, 'vms': 0.05859375}
{'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'pid': 4, 'create_time': 1597001986.0, 'vms': 0.19921875}
{'username': None, 'name': 'Registry', 'pid': 120, 'create_time': 1597001986.0, 'vms': 10.22265625}
{'username': None, 'name': 'svchost.exe', 'pid': 148, 'create_time': 1597002130.0, 'vms': 10.98046875}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'DolbyDAX2TrayIcon.exe', 'pid': 236, 'create_time': 1597065285.0, 'vms': 4.00390625}
{'username': None, 'name': 'svchost.exe', 'pid': 388, 'create_time': 1597002002.0, 'vms': 0.9375}
{'username': None, 'name': 'smss.exe', 'pid': 468, 'create_time': 1597001989.0, 'vms': 1.1640625}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'chrome.exe', 'pid': 528, 'create_time': 1597065275.0, 'vms': 38.78515625}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'svchost.exe', 'pid': 532, 'create_time': 1597065264.0, 'vms': 1.828125}
{'username': None, 'name': 'svchost.exe', 'pid': 560, 'create_time': 1597002002.0, 'vms': 15.30859375}
{'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'nvcontainer.exe', 'pid': 616, 'create_time': 1597065263.0, 'vms': 7.06640625}
{'username': None, 'name': 'csrss.exe', 'pid': 692, 'create_time': 1597002000.0, 'vms': 2.3359375}
{'username': None, 'name': 'wininit.exe', 'pid': 792, 'create_time': 1597002002.0, 'vms': 1.6015625}
{'username': None, 'name': 'services.exe', 'pid': 864, 'create_time': 1597002002.0, 'vms': 5.49609375}
{'username': None, 'name': 'lsass.exe', 'pid': 880, 'create_time': 1597002002.0, 'vms': 8.0703125}
