--------------------------------------------------------------------------------
Process Log at Sat Aug  8 19:22:55 2020
--------------------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'pid': 4, 'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.19921875}
{'pid': 84, 'name': 'svchost.exe', 'username': None, 'vms': 27.9609375}
{'pid': 120, 'name': 'Registry', 'username': None, 'vms': 13.09375}
{'pid': 264, 'name': 'jusched.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.91796875}
{'pid': 424, 'name': 'smss.exe', 'username': None, 'vms': 1.15234375}
{'pid': 468, 'name': 'fontdrvhost.exe', 'username': None, 'vms': 1.63671875}
{'pid': 472, 'name': 'WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 12.05078125}
{'pid': 568, 'name': 'svchost.exe', 'username': None, 'vms': 1.875}
{'pid': 648, 'name': 'ctfmon.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.08203125}
{'pid': 656, 'name': 'csrss.exe', 'username': None, 'vms': 2.08984375}
{'pid': 768, 'name': 'wininit.exe', 'username': None, 'vms': 1.859375}
{'pid': 840, 'name': 'services.exe', 'username': None, 'vms': 6.484375}
{'pid': 852, 'name': 'lsass.exe', 'username': None, 'vms': 12.4765625}
{'pid': 984, 'name': 'svchost.exe', 'username': None, 'vms': 0.953125}
{'pid': 1048, 'name': 'svchost.exe', 'username': None, 'vms': 13.36328125}
{'pid': 1096, 'name': 'svchost.exe', 'username': None, 'vms': 4.05078125}
{'pid': 1220, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 101.828125}
{'pid': 1260, 'name': 'NVDisplay.Container.exe', 'username': None, 'vms': 10.74609375}
{'pid': 1300, 'name': 'svchost.exe', 'username': None, 'vms': 2.6953125}
{'pid': 1396, 'name': 'svchost.exe', 'username': None, 'vms': 2.55078125}
{'pid': 1440, 'name': 'svchost.exe', 'username': None, 'vms': 1.63671875}
{'pid': 1464, 'name': 'svchost.exe', 'username': None, 'vms': 22.234375}
{'pid': 1484, 'name': 'svchost.exe', 'username': None, 'vms': 8.92578125}
{'pid': 1520, 'name': 'svchost.exe', 'username': None, 'vms': 10.1171875}
{'pid': 1604, 'name': 'EpicGamesLauncher.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 188.51171875}
{'pid': 1608, 'name': 'svchost.exe', 'username': None, 'vms': 3.40234375}
{'pid': 1624, 'name': 'svchost.exe', 'username': None, 'vms': 2.6953125}
{'pid': 1632, 'name': 'svchost.exe', 'username': None, 'vms': 16.9609375}
{'pid': 1752, 'name': 'svchost.exe', 'username': None, 'vms': 11.4453125}
{'pid': 1832, 'name': 'svchost.exe', 'username': None, 'vms': 3.48046875}
{'pid': 1872, 'name': 'WUDFHost.exe', 'username': None, 'vms': 1.90625}
{'pid': 1944, 'name': 'svchost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.06640625}
{'pid': 1960, 'name': 'svchost.exe', 'username': None, 'vms': 6.2578125}
{'pid': 1968, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 138.28125}
{'pid': 2036, 'name': 'svchost.exe', 'username': None, 'vms': 1.890625}
{'pid': 2044, 'name': 'svchost.exe', 'username': None, 'vms': 2.52734375}
{'pid': 2156, 'name': 'python.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 106.5546875}
{'pid': 2168, 'name': 'svchost.exe', 'username': None, 'vms': 3.0}
{'pid': 2176, 'name': 'svchost.exe', 'username': None, 'vms': 1.46875}
{'pid': 2184, 'name': 'svchost.exe', 'username': None, 'vms': 2.12109375}
{'pid': 2196, 'name': 'svchost.exe', 'username': None, 'vms': 5.2265625}
{'pid': 2208, 'name': 'wsc_proxy.exe', 'username': None, 'vms': 4.0625}
{'pid': 2288, 'name': 'svchost.exe', 'username': None, 'vms': 1.734375}
{'pid': 2308, 'name': 'svchost.exe', 'username': None, 'vms': 2.91796875}
{'pid': 2448, 'name': 'Memory Compression', 'username': None, 'vms': 0.66015625}
{'pid': 2496, 'name': 'svchost.exe', 'username': None, 'vms': 2.484375}
{'pid': 2556, 'name': 'igfxCUIService.exe', 'username': None, 'vms': 2.078125}
{'pid': 2564, 'name': 'svchost.exe', 'username': None, 'vms': 3.99609375}
{'pid': 2604, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.2421875}
{'pid': 2660, 'name': 'svchost.exe', 'username': None, 'vms': 2.49609375}
{'pid': 2736, 'name': 'svchost.exe', 'username': None, 'vms': 4.37890625}
{'pid': 2880, 'name': 'svchost.exe', 'username': None, 'vms': 2.0078125}
{'pid': 2888, 'name': 'svchost.exe', 'username': None, 'vms': 2.22265625}
{'pid': 3016, 'name': 'svchost.exe', 'username': None, 'vms': 4.828125}
{'pid': 3060, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 17.1796875}
{'pid': 3088, 'name': 'svchost.exe', 'username': None, 'vms': 1.92578125}
{'pid': 3096, 'name': 'svchost.exe', 'username': None, 'vms': 3.03515625}
{'pid': 3204, 'name': 'svchost.exe', 'username': None, 'vms': 2.0859375}
{'pid': 3228, 'name': 'NVIDIA Share.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 33.73046875}
{'pid': 3236, 'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.515625}
{'pid': 3280, 'name': 'svchost.exe', 'username': None, 'vms': 7.05859375}
{'pid': 3396, 'name': 'svchost.exe', 'username': None, 'vms': 5.4296875}
{'pid': 3404, 'name': 'AvastSvc.exe', 'username': None, 'vms': 338.703125}
{'pid': 3424, 'name': 'AvastUI.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 35.59765625}
{'pid': 3464, 'name': 'SearchUI.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 105.03125}
{'pid': 3496, 'name': 'svchost.exe', 'username': None, 'vms': 6.03125}
{'pid': 3504, 'name': 'sihost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.61328125}
{'pid': 3524, 'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 75.625}
{'pid': 3544, 'name': 'svchost.exe', 'username': None, 'vms': 1.359375}
{'pid': 3556, 'name': 'svchost.exe', 'username': None, 'vms': 1.6171875}
{'pid': 3568, 'name': 'NVIDIA Share.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 23.4453125}
{'pid': 3604, 'name': 'svchost.exe', 'username': None, 'vms': 3.671875}
{'pid': 3612, 'name': 'PresentationFontCache.exe', 'username': None, 'vms': 24.32421875}
{'pid': 3636, 'name': 'ZoomTextHelperService.exe', 'username': None, 'vms': 0.8515625}
{'pid': 3740, 'name': 'SystemSettings.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 23.75}
{'pid': 3776, 'name': 'svchost.exe', 'username': None, 'vms': 6.1640625}
{'pid': 4072, 'name': 'svchost.exe', 'username': None, 'vms': 1.859375}
{'pid': 4144, 'name': 'svchost.exe', 'username': None, 'vms': 1.5546875}
{'pid': 4232, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 60.33203125}
{'pid': 4252, 'name': 'spoolsv.exe', 'username': None, 'vms': 6.19921875}
{'pid': 4260, 'name': 'AiSquared.Loader.Generic.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 38.23046875}
{'pid': 4288, 'name': 'taskhostw.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.50390625}
{'pid': 4332, 'name': 'svchost.exe', 'username': None, 'vms': 2.65234375}
{'pid': 4392, 'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.421875}
{'pid': 4412, 'name': 'svchost.exe', 'username': None, 'vms': 11.5703125}
{'pid': 4460, 'name': 'svchost.exe', 'username': None, 'vms': 2.26953125}
{'pid': 4468, 'name': 'svchost.exe', 'username': None, 'vms': 21.9296875}
{'pid': 4472, 'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.48046875}
{'pid': 4480, 'name': 'svchost.exe', 'username': None, 'vms': 22.9921875}
{'pid': 4500, 'name': 'svchost.exe', 'username': None, 'vms': 2.1640625}
{'pid': 4564, 'name': 'svchost.exe', 'username': None, 'vms': 12.3046875}
{'pid': 4632, 'name': 'mDNSResponder.exe', 'username': None, 'vms': 2.32421875}
{'pid': 4648, 'name': 'svchost.exe', 'username': None, 'vms': 19.08203125}
{'pid': 4728, 'name': 'svchost.exe', 'username': None, 'vms': 2.390625}
{'pid': 4840, 'name': 'Lavasoft.WCAssistant.WinService.exe', 'username': None, 'vms': 37.80859375}
{'pid': 4868, 'name': 'AiSquared.Magnification.Service.exe', 'username': None, 'vms': 2.5546875}
{'pid': 4872, 'name': 'Crypserv.exe', 'username': None, 'vms': 4.36328125}
{'pid': 4912, 'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.6484375}
{'pid': 5012, 'name': 'svchost.exe', 'username': None, 'vms': 7.1015625}
{'pid': 5144, 'name': 'AppleMobileDeviceService.exe', 'username': None, 'vms': 3.8359375}
{'pid': 5152, 'name': 'Updater.exe', 'username': None, 'vms': 5.1171875}
{'pid': 5164, 'name': 'nvcontainer.exe', 'username': None, 'vms': 17.921875}
{'pid': 5176, 'name': 'AdminService.exe', 'username': None, 'vms': 20.51171875}
{'pid': 5192, 'name': 'armsvc.exe', 'username': None, 'vms': 1.82421875}
{'pid': 5320, 'name': 'svchost.exe', 'username': None, 'vms': 2.33984375}
{'pid': 5384, 'name': 'DolbyDAX2API.exe', 'username': None, 'vms': 31.234375}
{'pid': 5492, 'name': 'YourPhone.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 22.8984375}
{'pid': 5500, 'name': 'OneDrive.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 14.42578125}
{'pid': 5504, 'name': 'explorer.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 73.87890625}
{'pid': 5520, 'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.16796875}
{'pid': 5536, 'name': 'svchost.exe', 'username': None, 'vms': 6.88671875}
{'pid': 5564, 'name': 'NVIDIA Share.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 45.6484375}
{'pid': 5588, 'name': 'svchost.exe', 'username': None, 'vms': 2.52734375}
{'pid': 5632, 'name': 'svchost.exe', 'username': None, 'vms': 1.3046875}
{'pid': 5684, 'name': 'unsecapp.exe', 'username': None, 'vms': 1.7421875}
{'pid': 5792, 'name': 'svchost.exe', 'username': None, 'vms': 3.7265625}
{'pid': 5804, 'name': 'CodeHelper.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 11.02734375}
{'pid': 5824, 'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 42.41015625}
{'pid': 5864, 'name': 'dasHost.exe', 'username': None, 'vms': 1.296875}
{'pid': 5904, 'name': 'dllhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.0078125}
{'pid': 6004, 'name': 'StartMenuExperienceHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 28.33203125}
{'pid': 6012, 'name': 'nvcontainer.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 8.171875}
{'pid': 6284, 'name': 'svchost.exe', 'username': None, 'vms': 2.59375}
{'pid': 6396, 'name': 'Skype.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 9.625}
{'pid': 6504, 'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.88671875}
{'pid': 6616, 'name': 'svchost.exe', 'username': None, 'vms': 2.8359375}
{'pid': 6660, 'name': 'svchost.exe', 'username': None, 'vms': 6.65234375}
{'pid': 6824, 'name': 'SearchIndexer.exe', 'username': None, 'vms': 52.24609375}
{'pid': 6852, 'name': 'svchost.exe', 'username': None, 'vms': 2.87109375}
{'pid': 6936, 'name': 'svchost.exe', 'username': None, 'vms': 11.31640625}
{'pid': 7092, 'name': 'ZtUac64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.59765625}
{'pid': 7196, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 22.22265625}
{'pid': 7200, 'name': 'jhi_service.exe', 'username': None, 'vms': 1.45703125}
{'pid': 7336, 'name': 'winlogon.exe', 'username': None, 'vms': 2.7734375}
{'pid': 7484, 'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 164.4609375}
{'pid': 7592, 'name': 'aswEngSrv.exe', 'username': None, 'vms': 44.0}
{'pid': 7988, 'name': 'AiSquared.Loader.Elevated.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 16.8359375}
{'pid': 8252, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.26171875}
{'pid': 8444, 'name': 'AppVShNotify.exe', 'username': None, 'vms': 1.86328125}
{'pid': 8532, 'name': 'svchost.exe', 'username': None, 'vms': 1.8125}
{'pid': 8540, 'name': 'svchost.exe', 'username': None, 'vms': 4.89453125}
{'pid': 8552, 'name': 'RAVCpl64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.46484375}
{'pid': 8676, 'name': 'smartscreen.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 8.296875}
{'pid': 8684, 'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 10.12109375}
{'pid': 8892, 'name': 'aswidsagent.exe', 'username': None, 'vms': 53.11328125}
{'pid': 9228, 'name': 'AiSquared.Loader.Elevated.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 31.82421875}
{'pid': 9304, 'name': 'SecurityHealthSystray.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.16796875}
{'pid': 9364, 'name': 'RAVBg64.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.515625}
{'pid': 9456, 'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 18.890625}
{'pid': 9572, 'name': 'svchost.exe', 'username': None, 'vms': 11.3515625}
{'pid': 9756, 'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 44.2421875}
{'pid': 9824, 'name': 'csrss.exe', 'username': None, 'vms': 2.5}
{'pid': 9844, 'name': 'GoogleUpdate.exe', 'username': None, 'vms': 2.26953125}
{'pid': 9972, 'name': 'svchost.exe', 'username': None, 'vms': 4.47265625}
{'pid': 10060, 'name': 'ShellExperienceHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 15.09375}
{'pid': 10300, 'name': 'SecurityHealthService.exe', 'username': None, 'vms': 10.69921875}
{'pid': 10316, 'name': 'LMS.exe', 'username': None, 'vms': 3.81640625}
{'pid': 10656, 'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 40.9921875}
{'pid': 10816, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 52.80859375}
{'pid': 10824, 'name': 'svchost.exe', 'username': None, 'vms': 4.87890625}
{'pid': 11172, 'name': 'AvastUI.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 16.45703125}
{'pid': 11372, 'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 154.44140625}
{'pid': 11436, 'name': 'dwm.exe', 'username': None, 'vms': 57.4609375}
{'pid': 11560, 'name': 'svchost.exe', 'username': None, 'vms': 2.421875}
{'pid': 11720, 'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.71484375}
{'pid': 11804, 'name': 'dllhost.exe', 'username': None, 'vms': 3.953125}
{'pid': 11872, 'name': 'svchost.exe', 'username': None, 'vms': 5.59765625}
{'pid': 11896, 'name': 'python.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 10.9921875}
{'pid': 11936, 'name': 'svchost.exe', 'username': None, 'vms': 4.53515625}
{'pid': 12316, 'name': 'LockApp.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 13.30078125}
{'pid': 12440, 'name': 'svchost.exe', 'username': None, 'vms': 1.6640625}
{'pid': 12728, 'name': 'PSSvc.exe', 'username': None, 'vms': 26.8671875}
{'pid': 12752, 'name': 'WmiPrvSE.exe', 'username': None, 'vms': 5.9375}
{'pid': 12808, 'name': 'svchost.exe', 'username': None, 'vms': 2.078125}
{'pid': 13072, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 17.5078125}
{'pid': 13148, 'name': 'UnrealCEFSubProcess.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 92.7890625}
{'pid': 13252, 'name': 'GoogleCrashHandler.exe', 'username': None, 'vms': 1.94921875}
{'pid': 13256, 'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 149.34375}
{'pid': 13276, 'name': 'GoogleCrashHandler64.exe', 'username': None, 'vms': 1.79296875}
{'pid': 13304, 'name': 'svchost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 11.15625}
{'pid': 13440, 'name': 'DolbyDAX2TrayIcon.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.09765625}
{'pid': 13520, 'name': 'svchost.exe', 'username': None, 'vms': 3.25}
{'pid': 13564, 'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.51953125}
{'pid': 13576, 'name': 'SgrmBroker.exe', 'username': None, 'vms': 4.69140625}
{'pid': 13668, 'name': 'svchost.exe', 'username': None, 'vms': 6.88671875}
{'pid': 13752, 'name': 'NVDisplay.Container.exe', 'username': None, 'vms': 29.73046875}
{'pid': 13988, 'name': 'python.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 17.484375}
{'pid': 14056, 'name': 'svchost.exe', 'username': None, 'vms': 5.453125}
{'pid': 14136, 'name': 'svchost.exe', 'username': None, 'vms': 3.16796875}
{'pid': 14204, 'name': 'conhost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.7734375}
{'pid': 14272, 'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 13.6796875}
{'pid': 14932, 'name': 'svchost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 14.41796875}
{'pid': 15048, 'name': 'svchost.exe', 'username': None, 'vms': 3.34375}
