--------------------------------------------------------------------------------
Process Log at Sat Aug  8 23:23:20 2020
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.19921875}
{'name': 'svchost.exe', 'pid': 84, 'username': None, 'vms': 27.67578125}
{'name': 'Registry', 'pid': 120, 'username': None, 'vms': 11.24609375}
{'name': 'jusched.exe', 'pid': 264, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 1.859375}
{'name': 'smss.exe', 'pid': 424, 'username': None, 'vms': 1.15234375}
{'name': 'fontdrvhost.exe', 'pid': 468, 'username': None, 'vms': 1.63671875}
{'name': 'WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe', 'pid': 472, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 12.18359375}
{'name': 'svchost.exe', 'pid': 568, 'username': None, 'vms': 1.90625}
{'name': 'ctfmon.exe', 'pid': 648, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.14453125}
{'name': 'csrss.exe', 'pid': 656, 'username': None, 'vms': 2.08984375}
{'name': 'wininit.exe', 'pid': 768, 'username': None, 'vms': 1.859375}
{'name': 'Code.exe', 'pid': 808, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 204.4609375}
{'name': 'services.exe', 'pid': 840, 'username': None, 'vms': 6.484375}
{'name': 'lsass.exe', 'pid': 852, 'username': None, 'vms': 12.79296875}
{'name': 'svchost.exe', 'pid': 984, 'username': None, 'vms': 0.953125}
{'name': 'svchost.exe', 'pid': 1048, 'username': None, 'vms': 13.14453125}
{'name': 'svchost.exe', 'pid': 1096, 'username': None, 'vms': 3.98828125}
{'name': 'NVDisplay.Container.exe', 'pid': 1260, 'username': None, 'vms': 9.65625}
{'name': 'svchost.exe', 'pid': 1300, 'username': None, 'vms': 2.76171875}
