--------------------------------------------------------------------------------
Process Log at Sat Aug  8 23:26:43 2020
--------------------------------------------------------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 0.19921875}
{'pid': 84, 'username': None, 'name': 'svchost.exe', 'vms': 27.6328125}
{'pid': 120, 'username': None, 'name': 'Registry', 'vms': 11.25390625}
{'pid': 264, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'jusched.exe', 'vms': 1.859375}
{'pid': 424, 'username': None, 'name': 'smss.exe', 'vms': 1.15234375}
{'pid': 468, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 1.63671875}
{'pid': 472, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe', 'vms': 12.18359375}
{'pid': 568, 'username': None, 'name': 'svchost.exe', 'vms': 1.90625}
{'pid': 648, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'ctfmon.exe', 'vms': 4.15625}
{'pid': 656, 'username': None, 'name': 'csrss.exe', 'vms': 2.140625}
{'pid': 768, 'username': None, 'name': 'wininit.exe', 'vms': 1.859375}
{'pid': 808, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'vms': 213.05859375}
{'pid': 840, 'username': None, 'name': 'services.exe', 'vms': 6.46875}
{'pid': 852, 'username': None, 'name': 'lsass.exe', 'vms': 12.79296875}
{'pid': 984, 'username': None, 'name': 'svchost.exe', 'vms': 0.953125}
{'pid': 1048, 'username': None, 'name': 'svchost.exe', 'vms': 13.28125}
{'pid': 1096, 'username': None, 'name': 'svchost.exe', 'vms': 3.90234375}
{'pid': 1260, 'username': None, 'name': 'NVDisplay.Container.exe', 'vms': 9.65625}
