--------------------------------------------------------------------------------
Process Log at Sat Aug  8 23:37:47 2020
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.19921875}
{'name': 'svchost.exe', 'username': None, 'pid': 84, 'vms': 27.5546875}
{'name': 'Registry', 'username': None, 'pid': 120, 'vms': 11.328125}
{'name': 'jusched.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 264, 'vms': 1.79296875}
{'name': 'smss.exe', 'username': None, 'pid': 424, 'vms': 1.15234375}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 468, 'vms': 1.63671875}
{'name': 'WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 472, 'vms': 12.15625}
{'name': 'svchost.exe', 'username': None, 'pid': 568, 'vms': 1.90625}
{'name': 'ctfmon.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 648, 'vms': 4.171875}
{'name': 'csrss.exe', 'username': None, 'pid': 656, 'vms': 2.08984375}
{'name': 'wininit.exe', 'username': None, 'pid': 768, 'vms': 1.78515625}
{'name': 'Code.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 808, 'vms': 215.53125}
{'name': 'services.exe', 'username': None, 'pid': 840, 'vms': 6.37890625}
{'name': 'lsass.exe', 'username': None, 'pid': 852, 'vms': 12.69921875}
{'name': 'svchost.exe', 'username': None, 'pid': 984, 'vms': 0.953125}
{'name': 'svchost.exe', 'username': None, 'pid': 1048, 'vms': 13.25}
{'name': 'svchost.exe', 'username': None, 'pid': 1096, 'vms': 3.93359375}
{'name': 'NVDisplay.Container.exe', 'username': None, 'pid': 1260, 'vms': 9.62890625}
{'name': 'svchost.exe', 'username': None, 'pid': 1300, 'vms': 2.76171875}
{'name': 'svchost.exe', 'username': None, 'pid': 1396, 'vms': 2.55078125}
{'name': 'svchost.exe', 'username': None, 'pid': 1440, 'vms': 1.63671875}
{'name': 'svchost.exe', 'username': None, 'pid': 1484, 'vms': 8.25390625}
{'name': 'svchost.exe', 'username': None, 'pid': 1520, 'vms': 10.10546875}
{'name': 'EpicGamesLauncher.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 1604, 'vms': 195.1015625}
{'name': 'svchost.exe', 'username': None, 'pid': 1608, 'vms': 3.40625}
{'name': 'svchost.exe', 'username': None, 'pid': 1624, 'vms': 2.69921875}
{'name': 'svchost.exe', 'username': None, 'pid': 1632, 'vms': 16.53125}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 1712, 'vms': 21.21484375}
{'name': 'svchost.exe', 'username': None, 'pid': 1752, 'vms': 9.90625}
{'name': 'svchost.exe', 'username': None, 'pid': 1832, 'vms': 3.296875}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 1872, 'vms': 1.90625}
{'name': 'svchost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 1944, 'vms': 4.140625}
{'name': 'svchost.exe', 'username': None, 'pid': 1960, 'vms': 6.28515625}
{'name': 'svchost.exe', 'username': None, 'pid': 2036, 'vms': 1.875}
{'name': 'svchost.exe', 'username': None, 'pid': 2044, 'vms': 2.4140625}
{'name': 'RuntimeBroker.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 2120, 'vms': 11.87109375}
{'name': 'svchost.exe', 'username': None, 'pid': 2168, 'vms': 3.015625}
{'name': 'svchost.exe', 'username': None, 'pid': 2176, 'vms': 1.3125}
{'name': 'svchost.exe', 'username': None, 'pid': 2184, 'vms': 2.140625}
{'name': 'svchost.exe', 'username': None, 'pid': 2196, 'vms': 5.14453125}
{'name': 'wsc_proxy.exe', 'username': None, 'pid': 2208, 'vms': 4.03515625}
{'name': 'svchost.exe', 'username': None, 'pid': 2288, 'vms': 1.734375}
{'name': 'svchost.exe', 'username': None, 'pid': 2308, 'vms': 2.80078125}
{'name': 'Memory Compression', 'username': None, 'pid': 2448, 'vms': 0.921875}
{'name': 'svchost.exe', 'username': None, 'pid': 2496, 'vms': 2.375}
{'name': 'igfxCUIService.exe', 'username': None, 'pid': 2556, 'vms': 2.0078125}
{'name': 'svchost.exe', 'username': None, 'pid': 2564, 'vms': 3.70703125}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 2592, 'vms': 33.40234375}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 2596, 'vms': 210.20703125}
