--------------------------------------------------------------------------------
Process Log at Thu Aug 13 16:18:06 2020
--------------------------------------------------------------------------------
{'create_time': 1597001985.0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'pid': 0, 'vms': 0.05859375}
{'create_time': 1597001985.0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'pid': 4, 'vms': 0.203125}
{'create_time': 1597001986.0, 'username': None, 'name': 'Registry', 'pid': 120, 'vms': 13.22265625}
{'create_time': 1597002130.0, 'username': None, 'name': 'svchost.exe', 'pid': 148, 'vms': 11.5390625}
{'create_time': 1597002002.0, 'username': None, 'name': 'svchost.exe', 'pid': 388, 'vms': 0.9375}
{'create_time': 1597001989.0, 'username': None, 'name': 'smss.exe', 'pid': 468, 'vms': 1.1640625}
{'create_time': 1597313220.0, 'username': None, 'name': 'dwm.exe', 'pid': 532, 'vms': 94.80859375}
{'create_time': 1597314980.0, 'username': None, 'name': 'audiodg.exe', 'pid': 540, 'vms': 6.80078125}
{'create_time': 1597002002.0, 'username': None, 'name': 'svchost.exe', 'pid': 560, 'vms': 20.48828125}
{'create_time': 1597002000.0, 'username': None, 'name': 'csrss.exe', 'pid': 692, 'vms': 2.3984375}
{'create_time': 1597002002.0, 'username': None, 'name': 'wininit.exe', 'pid': 792, 'vms': 1.76953125}
{'create_time': 1597002002.0, 'username': None, 'name': 'services.exe', 'pid': 864, 'vms': 5.9375}
{'create_time': 1597002002.0, 'username': None, 'name': 'lsass.exe', 'pid': 880, 'vms': 9.4609375}
{'create_time': 1597002002.0, 'username': None, 'name': 'fontdrvhost.exe', 'pid': 952, 'vms': 1.65234375}
{'create_time': 1597314730.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'Code.exe', 'pid': 972, 'vms': 167.98828125}
{'create_time': 1597314330.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'NVIDIA Share.exe', 'pid': 980, 'vms': 45.1796875}
{'create_time': 1597315684.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'conhost.exe', 'pid': 992, 'vms': 1.70703125}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 1080, 'vms': 11.48828125}
{'create_time': 1597314569.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe', 'pid': 1112, 'vms': 13.09765625}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 1128, 'vms': 3.43359375}
{'create_time': 1597002012.0, 'username': None, 'name': 'PresentationFontCache.exe', 'pid': 1220, 'vms': 24.31640625}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 1344, 'vms': 2.796875}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 1400, 'vms': 2.32421875}
{'create_time': 1597314562.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'dllhost.exe', 'pid': 1416, 'vms': 4.4765625}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 1440, 'vms': 1.83984375}
{'create_time': 1597314335.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'AvastUI.exe', 'pid': 1448, 'vms': 35.890625}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 1508, 'vms': 2.87109375}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 1576, 'vms': 7.9140625}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 1612, 'vms': 6.390625}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 1636, 'vms': 2.6015625}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 1640, 'vms': 2.38671875}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 1756, 'vms': 17.328125}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 1796, 'vms': 1.36328125}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 1800, 'vms': 9.5390625}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 1896, 'vms': 3.25390625}
{'create_time': 1597002003.0, 'username': None, 'name': 'NVDisplay.Container.exe', 'pid': 1976, 'vms': 8.12890625}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 2024, 'vms': 5.84765625}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 2040, 'vms': 1.95703125}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 2052, 'vms': 2.109375}
{'create_time': 1597002003.0, 'username': None, 'name': 'wsc_proxy.exe', 'pid': 2060, 'vms': 4.13671875}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 2084, 'vms': 3.359375}
{'create_time': 1597002003.0, 'username': None, 'name': 'Memory Compression', 'pid': 2288, 'vms': 0.359375}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 2336, 'vms': 2.5078125}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 2344, 'vms': 3.10546875}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 2380, 'vms': 5.53515625}
{'create_time': 1597314335.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'name': 'RAVBg64.exe', 'pid': 2408, 'vms': 6.3671875}
{'create_time': 1597002003.0, 'username': None, 'name': 'igfxCUIService.exe', 'pid': 2424, 'vms': 2.0625}
{'create_time': 1597002003.0, 'username': None, 'name': 'svchost.exe', 'pid': 2456, 'vms': 1.703125}
