--------------------------------------------------------------------------------
Process Log at Thu Aug 13 16:57:18 2020
--------------------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'create_time': 1597001985.0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'pid': 4, 'name': 'System', 'create_time': 1597001985.0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.203125}
{'pid': 120, 'name': 'Registry', 'create_time': 1597001986.0, 'username': None, 'vms': 10.71875}
{'pid': 148, 'name': 'svchost.exe', 'create_time': 1597002130.0, 'username': None, 'vms': 11.42578125}
{'pid': 388, 'name': 'svchost.exe', 'create_time': 1597002002.0, 'username': None, 'vms': 0.9375}
{'pid': 468, 'name': 'smss.exe', 'create_time': 1597001989.0, 'username': None, 'vms': 1.1640625}
{'pid': 520, 'name': 'conhost.exe', 'create_time': 1597318036.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.5234375}
{'pid': 532, 'name': 'dwm.exe', 'create_time': 1597313220.0, 'username': None, 'vms': 95.69140625}
{'pid': 540, 'name': 'audiodg.exe', 'create_time': 1597314980.0, 'username': None, 'vms': 6.58984375}
{'pid': 560, 'name': 'svchost.exe', 'create_time': 1597002002.0, 'username': None, 'vms': 20.38671875}
{'pid': 692, 'name': 'csrss.exe', 'create_time': 1597002000.0, 'username': None, 'vms': 2.3359375}
{'pid': 792, 'name': 'wininit.exe', 'create_time': 1597002002.0, 'username': None, 'vms': 1.69140625}
{'pid': 864, 'name': 'services.exe', 'create_time': 1597002002.0, 'username': None, 'vms': 5.5234375}
{'pid': 880, 'name': 'lsass.exe', 'create_time': 1597002002.0, 'username': None, 'vms': 9.25390625}
{'pid': 952, 'name': 'fontdrvhost.exe', 'create_time': 1597002002.0, 'username': None, 'vms': 1.65234375}
{'pid': 972, 'name': 'Code.exe', 'create_time': 1597314730.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 200.046875}
{'pid': 980, 'name': 'NVIDIA Share.exe', 'create_time': 1597314330.0, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 45.23828125}
