,pid,create_time,username,name,num_handles,ppid,memory_percent,num_threads,vms
0,0,1597390651.0,NT AUTHORITY\SYSTEM,System Idle Process,0,0,4.802491532607116e-05,8,0.05859375
1,4,1597390651.0,NT AUTHORITY\SYSTEM,System,5223,0,0.029775447502164123,238,0.19921875
2,88,1597390792.0,,DolbyDAX2API.exe,384,868,0.2695878621829005,8,29.6328125
3,92,1597390660.0,,svchost.exe,1294,868,0.20523447564596511,26,14.234375
4,120,1597390651.0,,Registry,0,4,0.6250202605111532,4,11.0234375
5,444,1597390653.0,,smss.exe,53,4,0.007323799587225852,2,1.15234375
6,464,1597398190.0,LAPTOP-RSTFGJU4\Vedant Wartikar,Microsoft.Photos.exe,793,92,0.005883052127443718,18,48.765625
7,480,1597390668.0,,OfficeClickToRun.exe,714,868,0.3359102702482048,20,34.23828125
8,516,1597390660.0,,winlogon.exe,279,788,0.07467874333204066,5,2.77734375
9,520,1597390660.0,,fontdrvhost.exe,32,796,0.022211523338307913,5,1.72265625
10,692,1597390658.0,,csrss.exe,814,596,0.03479405115373856,17,2.25
11,796,1597390660.0,,wininit.exe,156,596,0.04108531506145388,1,1.3515625
12,804,1597390660.0,,csrss.exe,841,788,0.03685912251275962,14,2.5
13,868,1597390660.0,,services.exe,735,796,0.06348893806106609,8,5.44140625
14,888,1597390660.0,,lsass.exe,1409,796,0.11545189644387509,10,7.23046875
15,900,1597390661.0,,svchost.exe,227,868,0.08104204461274508,6,2.5546875
16,908,1597390661.0,,svchost.exe,226,868,0.07391034468682352,3,2.9375
17,936,1597405108.0,LAPTOP-RSTFGJU4\Vedant Wartikar,chrome.exe,500,1904,0.23563424704736818,14,19.59765625
18,996,1597390660.0,,svchost.exe,86,868,0.023772333086405226,2,0.953125
19,1032,1597390660.0,,fontdrvhost.exe,32,516,0.047160466850201886,5,3.55859375
20,1092,1597390660.0,,svchost.exe,1414,868,0.10901655779018155,14,9.6953125
21,1112,1597390661.0,,svchost.exe,269,868,0.03503417573036892,3,1.29296875
22,1124,1597404425.0,LAPTOP-RSTFGJU4\Vedant Wartikar,LockApp.exe,533,92,0.3279381343040769,12,13.68359375
23,1140,1597390660.0,,svchost.exe,302,868,0.04797689041074509,6,2.58984375
24,1192,1597390661.0,,svchost.exe,179,868,0.04776077829177778,5,1.96875
25,1196,1597390660.0,,dwm.exe,976,516,0.543882166067756,13,72.32421875
26,1260,1597390792.0,,svchost.exe,388,868,0.09208777513774145,10,4.7734375
27,1304,1597390661.0,,svchost.exe,259,868,0.06641845789595643,4,2.59375
28,1336,1597390661.0,,svchost.exe,169,868,0.07479880562035585,4,2.21875
29,1368,1597390661.0,,svchost.exe,250,868,0.05213104558645025,3,2.12109375
30,1388,1597390673.0,,svchost.exe,238,868,0.06356097543405519,8,2.83984375
31,1428,1597390661.0,,svchost.exe,134,868,0.03645091073248802,6,1.54296875
32,1456,1597390696.0,LAPTOP-RSTFGJU4\Vedant Wartikar,svchost.exe,315,868,0.13761539486685692,9,4.16796875
33,1572,1597390661.0,,svchost.exe,430,868,0.11036125541931154,9,14.828125
34,1624,1597390661.0,,svchost.exe,153,868,0.051602771517863466,2,1.77734375
35,1676,1597390661.0,,svchost.exe,150,868,0.055564827032264334,4,5.01953125
36,1708,1597390661.0,,svchost.exe,227,868,0.0469683671888976,8,2.39453125
37,1732,1597390832.0,,svchost.exe,221,868,0.07431855646709513,5,3.08203125
38,1800,1597390661.0,,NVDisplay.Container.exe,328,868,0.10056417269279302,8,5.77734375
39,1864,1597390661.0,,svchost.exe,301,868,0.07744017596328975,6,2.7890625
40,1892,1597390661.0,,svchost.exe,388,868,0.07669578977573564,9,4.84765625
41,1904,1597405107.0,LAPTOP-RSTFGJU4\Vedant Wartikar,chrome.exe,1639,5296,1.1897212273727609,33,125.359375
42,1916,1597399229.0,LAPTOP-RSTFGJU4\Vedant Wartikar,powershell.exe,514,5860,0.4337610352250748,12,58.55859375
43,1920,1597390661.0,,svchost.exe,408,868,0.09653007980540304,11,6.40625
44,1936,1597403261.0,,svchost.exe,172,868,0.047880840580092954,4,2.28125
45,1952,1597390661.0,,svchost.exe,175,868,0.06332085085742482,3,2.140625
46,1968,1597405656.0,LAPTOP-RSTFGJU4\Vedant Wartikar,conhost.exe,112,4280,0.0675470434061191,2,6.5234375
47,2052,1597390661.0,,wsc_proxy.exe,304,868,0.06721086899883659,7,3.98828125
48,2104,1597390661.0,,svchost.exe,309,868,0.05354778058856935,18,3.62890625
49,2184,1597390662.0,,svchost.exe,185,868,0.05198697084047203,3,1.99609375
50,2232,1597390662.0,,Memory Compression,0,4,0.17142493525641103,50,0.14453125
51,2276,1597398096.0,LAPTOP-RSTFGJU4\Vedant Wartikar,RuntimeBroker.exe,130,92,0.049369612955201155,3,1.87109375
52,2280,1597390662.0,,svchost.exe,310,868,0.06248041483921859,6,2.79296875
53,2324,1597398726.0,LAPTOP-RSTFGJU4\Vedant Wartikar,conhost.exe,121,5860,0.048385102191016695,5,1.7421875
54,2332,1597390662.0,,igfxCUIService.exe,174,868,0.052611294739710955,3,1.86328125
55,2340,1597390662.0,,svchost.exe,504,868,0.05501254050601452,8,2.8046875
56,2360,1597396274.0,LAPTOP-RSTFGJU4\Vedant Wartikar,ShellExperienceHost.exe,546,92,0.3537515262918402,14,17.01953125
57,2384,1597390662.0,,svchost.exe,191,868,0.09883527574105445,4,7.3125
58,2404,1597390734.0,,svchost.exe,271,868,0.09633798014409875,8,4.9296875
59,2416,1597390793.0,,LMS.exe,273,868,0.07448664367073637,4,3.28515625
60,2600,1597390663.0,,svchost.exe,229,868,0.070188413749053,4,2.5234375
61,2660,1597390663.0,,svchost.exe,200,868,0.049297575582212046,4,2.01953125
62,2668,1597390663.0,,svchost.exe,163,868,0.04286223692851852,5,1.76171875
63,2692,1597405666.0,,WmiPrvSE.exe,166,92,0.060223243818893234,7,3.6875
64,2820,1597390664.0,,svchost.exe,381,868,0.08661293479056935,11,3.4140625
65,2988,1597390664.0,,svchost.exe,141,868,0.0402208665855846,5,1.82421875
66,2996,1597390664.0,,svchost.exe,377,868,0.061447879159708056,7,2.6796875
67,3008,1597405108.0,LAPTOP-RSTFGJU4\Vedant Wartikar,chrome.exe,242,1904,0.3892659511754698,15,37.26171875
68,3096,1597390668.0,,AdminService.exe,216,868,0.052323145247754534,3,3.3046875
69,3136,1597405108.0,LAPTOP-RSTFGJU4\Vedant Wartikar,chrome.exe,238,1904,0.2555405744500247,14,18.875
70,3148,1597390665.0,,svchost.exe,504,868,0.1153318341555599,14,6.05078125
71,3188,1597390668.0,,Updater.exe,306,868,0.07268570934600871,3,4.78125
72,3196,1597390668.0,,Crypserv.exe,186,868,0.05234715770541757,5,3.234375
73,3228,1597390666.0,,svchost.exe,217,868,0.07741616350562672,4,2.50390625
