--------------------------------------------------------------------------------
Process Log at Thu Apr 25 15:38:18 2019
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05078125}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.18359375}
{'name': 'Registry', 'username': None, 'pid': 120, 'vms': 1.33203125}
{'name': 'smss.exe', 'username': None, 'pid': 480, 'vms': 0.55078125}
{'name': 'csrss.exe', 'username': None, 'pid': 676, 'vms': 2.078125}
{'name': 'svchost.exe', 'username': None, 'pid': 680, 'vms': 7.33984375}
{'name': 'wininit.exe', 'username': None, 'pid': 776, 'vms': 1.59375}
{'name': 'csrss.exe', 'username': None, 'pid': 788, 'vms': 1.7265625}
{'name': 'services.exe', 'username': None, 'pid': 840, 'vms': 4.91796875}
{'name': 'winlogon.exe', 'username': None, 'pid': 848, 'vms': 2.59765625}
{'name': 'lsass.exe', 'username': None, 'pid': 860, 'vms': 10.15625}
{'name': 'svchost.exe', 'username': None, 'pid': 896, 'vms': 3.2578125}
{'name': 'svchost.exe', 'username': None, 'pid': 964, 'vms': 1.0390625}
{'name': 'svchost.exe', 'username': None, 'pid': 980, 'vms': 12.26171875}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 988, 'vms': 1.6953125}
{'name': 'svchost.exe', 'username': None, 'pid': 1048, 'vms': 3.16015625}
{'name': 'EpicGamesLauncher.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 1140, 'vms': 227.921875}
{'name': 'svchost.exe', 'username': None, 'pid': 1208, 'vms': 2.3046875}
{'name': 'svchost.exe', 'username': None, 'pid': 1220, 'vms': 2.14453125}
{'name': 'svchost.exe', 'username': None, 'pid': 1272, 'vms': 6.4609375}
{'name': 'igfxCUIService.exe', 'username': None, 'pid': 1284, 'vms': 1.8828125}
{'name': 'svchost.exe', 'username': None, 'pid': 1288, 'vms': 2.54296875}
{'name': 'chrome.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 1332, 'vms': 14.6484375}
{'name': 'svchost.exe', 'username': None, 'pid': 1368, 'vms': 12.9140625}
{'name': 'svchost.exe', 'username': None, 'pid': 1376, 'vms': 10.5859375}
{'name': 'svchost.exe', 'username': None, 'pid': 1464, 'vms': 2.765625}
{'name': 'aswidsagent.exe', 'username': None, 'pid': 1500, 'vms': 24.3828125}
{'name': 'SettingSyncHost.exe', 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'pid': 1536, 'vms': 8.640625}
