--------------------------------------------------------------------------------
Process Log at Thu Jun 13 15:44:35 2019
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05078125}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.2109375}
{'name': 'Registry', 'pid': 120, 'username': None, 'vms': 4.3984375}
{'name': 'conhost.exe', 'pid': 392, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.41796875}
{'name': 'MSASCuiL.exe', 'pid': 400, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.0625}
{'name': 'smss.exe', 'pid': 468, 'username': None, 'vms': 0.55859375}
{'name': 'conhost.exe', 'pid': 568, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.41796875}
{'name': 'svchost.exe', 'pid': 592, 'username': None, 'vms': 1.671875}
{'name': 'svchost.exe', 'pid': 596, 'username': None, 'vms': 8.296875}
{'name': 'csrss.exe', 'pid': 692, 'username': None, 'vms': 2.078125}
{'name': 'wininit.exe', 'pid': 784, 'username': None, 'vms': 1.58203125}
{'name': 'services.exe', 'pid': 848, 'username': None, 'vms': 5.375}
{'name': 'lsass.exe', 'pid': 868, 'username': None, 'vms': 11.484375}
{'name': 'WebCompanion.exe', 'pid': 956, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 69.87109375}
{'name': 'svchost.exe', 'pid': 972, 'username': None, 'vms': 1.046875}
{'name': 'svchost.exe', 'pid': 988, 'username': None, 'vms': 12.53515625}
{'name': 'fontdrvhost.exe', 'pid': 996, 'username': None, 'vms': 1.80078125}
{'name': 'svchost.exe', 'pid': 1028, 'username': None, 'vms': 2.984375}
{'name': 'conhost.exe', 'pid': 1052, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.40625}
{'name': 'conhost.exe', 'pid': 1088, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.4296875}
{'name': 'svchost.exe', 'pid': 1140, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 9.14453125}
{'name': 'conhost.exe', 'pid': 1148, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.484375}
{'name': 'svchost.exe', 'pid': 1176, 'username': None, 'vms': 2.359375}
{'name': 'svchost.exe', 'pid': 1188, 'username': None, 'vms': 2.2265625}
{'name': 'conhost.exe', 'pid': 1252, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.42578125}
{'name': 'RAVBg64.exe', 'pid': 1260, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.015625}
{'name': 'NvTelemetryContainer.exe', 'pid': 1264, 'username': None, 'vms': 5.04296875}
{'name': 'svchost.exe', 'pid': 1268, 'username': None, 'vms': 7.36328125}
{'name': 'svchost.exe', 'pid': 1292, 'username': None, 'vms': 12.4609375}
{'name': 'svchost.exe', 'pid': 1340, 'username': None, 'vms': 2.65234375}
{'name': 'svchost.exe', 'pid': 1376, 'username': None, 'vms': 4.76171875}
{'name': 'svchost.exe', 'pid': 1380, 'username': None, 'vms': 5.7734375}
{'name': 'python.exe', 'pid': 1388, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 175.109375}
{'name': 'svchost.exe', 'pid': 1424, 'username': None, 'vms': 2.30859375}
{'name': 'NVDisplay.Container.exe', 'pid': 1484, 'username': None, 'vms': 5.9765625}
{'name': 'chrome.exe', 'pid': 1508, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 253.3359375}
{'name': 'svchost.exe', 'pid': 1544, 'username': None, 'vms': 6.30859375}
{'name': 'svchost.exe', 'pid': 1572, 'username': None, 'vms': 2.5546875}
{'name': 'svchost.exe', 'pid': 1584, 'username': None, 'vms': 1.40234375}
{'name': 'svchost.exe', 'pid': 1592, 'username': None, 'vms': 2.4921875}
{'name': 'svchost.exe', 'pid': 1604, 'username': None, 'vms': 4.4765625}
{'name': 'svchost.exe', 'pid': 1612, 'username': None, 'vms': 2.03125}
{'name': 'python.exe', 'pid': 1724, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.5078125}
{'name': 'SettingSyncHost.exe', 'pid': 1728, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 16.30859375}
{'name': 'Memory Compression', 'pid': 1748, 'username': None, 'vms': 0.10546875}
{'name': 'svchost.exe', 'pid': 1768, 'username': None, 'vms': 2.01171875}
{'name': 'svchost.exe', 'pid': 1812, 'username': None, 'vms': 2.859375}
{'name': 'svchost.exe', 'pid': 1876, 'username': None, 'vms': 3.46875}
{'name': 'igfxCUIService.exe', 'pid': 1884, 'username': None, 'vms': 1.90625}
{'name': 'igfxEM.exe', 'pid': 1896, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 3.6640625}
{'name': 'ShellExperienceHost.exe', 'pid': 1928, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 33.39453125}
{'name': 'svchost.exe', 'pid': 2020, 'username': None, 'vms': 2.078125}
{'name': 'svchost.exe', 'pid': 2028, 'username': None, 'vms': 1.859375}
{'name': 'svchost.exe', 'pid': 2084, 'username': None, 'vms': 2.1953125}
{'name': 'AdminService.exe', 'pid': 2104, 'username': None, 'vms': 3.734375}
{'name': 'python.exe', 'pid': 2132, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.74609375}
{'name': 'svchost.exe', 'pid': 2136, 'username': None, 'vms': 1.82421875}
{'name': 'svchost.exe', 'pid': 2140, 'username': None, 'vms': 1.625}
{'name': 'svchost.exe', 'pid': 2168, 'username': None, 'vms': 3.32421875}
{'name': 'svchost.exe', 'pid': 2216, 'username': None, 'vms': 3.00390625}
{'name': 'svchost.exe', 'pid': 2224, 'username': None, 'vms': 1.9609375}
{'name': 'svchost.exe', 'pid': 2232, 'username': None, 'vms': 3.578125}
{'name': 'svchost.exe', 'pid': 2304, 'username': None, 'vms': 7.51953125}
{'name': 'svchost.exe', 'pid': 2364, 'username': None, 'vms': 2.10546875}
{'name': 'svchost.exe', 'pid': 2436, 'username': None, 'vms': 6.0703125}
{'name': 'svchost.exe', 'pid': 2452, 'username': None, 'vms': 2.9375}
{'name': 'AvastSvc.exe', 'pid': 2460, 'username': None, 'vms': 167.14453125}
{'name': 'Lavasoft.WCAssistant.WinService.exe', 'pid': 2676, 'username': None, 'vms': 36.43359375}
{'name': 'svchost.exe', 'pid': 2696, 'username': None, 'vms': 3.67578125}
{'name': 'svchost.exe', 'pid': 2756, 'username': None, 'vms': 12.83203125}
{'name': 'spoolsv.exe', 'pid': 2800, 'username': None, 'vms': 5.3671875}
{'name': 'svchost.exe', 'pid': 2836, 'username': None, 'vms': 11.39453125}
{'name': 'svchost.exe', 'pid': 2856, 'username': None, 'vms': 2.1796875}
{'name': 'chrome.exe', 'pid': 2872, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 46.98828125}
{'name': 'svchost.exe', 'pid': 2876, 'username': None, 'vms': 1.34765625}
{'name': 'svchost.exe', 'pid': 2892, 'username': None, 'vms': 2.6015625}
{'name': 'OfficeClickToRun.exe', 'pid': 2944, 'username': None, 'vms': 31.66015625}
{'name': 'armsvc.exe', 'pid': 3056, 'username': None, 'vms': 1.34765625}
{'name': 'svchost.exe', 'pid': 3064, 'username': None, 'vms': 1.765625}
{'name': 'AppleMobileDeviceService.exe', 'pid': 3080, 'username': None, 'vms': 3.45703125}
{'name': 'svchost.exe', 'pid': 3088, 'username': None, 'vms': 2.0546875}
{'name': 'mDNSResponder.exe', 'pid': 3096, 'username': None, 'vms': 1.8984375}
{'name': 'svchost.exe', 'pid': 3108, 'username': None, 'vms': 33.5625}
{'name': 'Updater.exe', 'pid': 3116, 'username': None, 'vms': 4.71875}
{'name': 'nvcontainer.exe', 'pid': 3124, 'username': None, 'vms': 10.30859375}
{'name': 'SecurityHealthService.exe', 'pid': 3132, 'username': None, 'vms': 4.4140625}
{'name': 'svchost.exe', 'pid': 3280, 'username': None, 'vms': 2.43359375}
{'name': 'python.exe', 'pid': 3296, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.828125}
{'name': 'explorer.exe', 'pid': 3332, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 80.80859375}
{'name': 'dasHost.exe', 'pid': 3460, 'username': None, 'vms': 1.12109375}
{'name': 'svchost.exe', 'pid': 3472, 'username': None, 'vms': 3.48828125}
{'name': 'python.exe', 'pid': 3480, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 175.296875}
{'name': 'svchost.exe', 'pid': 3508, 'username': None, 'vms': 2.59375}
{'name': 'python.exe', 'pid': 3524, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.8125}
{'name': 'chrome.exe', 'pid': 3528, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 14.55078125}
{'name': 'NVIDIA Share.exe', 'pid': 3544, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 19.15234375}
{'name': 'python.exe', 'pid': 3568, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.8203125}
{'name': 'chrome.exe', 'pid': 3600, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 42.18359375}
{'name': 'svchost.exe', 'pid': 3824, 'username': None, 'vms': 2.30859375}
{'name': 'svchost.exe', 'pid': 3856, 'username': None, 'vms': 3.453125}
{'name': 'RAVCpl64.exe', 'pid': 3948, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 4.609375}
{'name': 'svchost.exe', 'pid': 3956, 'username': None, 'vms': 2.1484375}
{'name': 'fontdrvhost.exe', 'pid': 4004, 'username': None, 'vms': 3.9453125}
{'name': 'conhost.exe', 'pid': 4176, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.41796875}
{'name': 'python.exe', 'pid': 4236, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 6.52734375}
{'name': 'conhost.exe', 'pid': 4340, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.4375}
{'name': 'chrome.exe', 'pid': 4376, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.4140625}
{'name': 'conhost.exe', 'pid': 4400, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.4375}
{'name': 'chrome.exe', 'pid': 4428, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 2.45703125}
{'name': 'winlogon.exe', 'pid': 4500, 'username': None, 'vms': 2.66015625}
{'name': 'conhost.exe', 'pid': 4528, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.43359375}
{'name': 'python.exe', 'pid': 4532, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 176.7734375}
{'name': 'svchost.exe', 'pid': 4560, 'username': None, 'vms': 4.27734375}
{'name': 'conhost.exe', 'pid': 4680, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 5.4140625}
{'name': 'nvcontainer.exe', 'pid': 4692, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 32.80078125}
{'name': 'NVIDIA Share.exe', 'pid': 4740, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 50.7890625}
{'name': 'taskhostw.exe', 'pid': 5016, 'username': 'LAPTOP-RSTFGJU4\\Vedant Wartikar', 'vms': 7.83203125}
